round,cwnd,wmax,wmin
1.0,15.0,17.5,5.0
2.0,15.0,17.5,11.25
3.0,15.0,17.5,14.375
4.0,15.0,17.5,15.9375
5.0,15.0,17.5,16.71875
6.0,17.109375,17.5,16.71875
7.0,17.109375,17.5,16.71875
8.0,17.109375,17.5,16.71875
9.0,17.109375,17.5,16.71875
10.0,17.109375,17.5,16.71875
11.0,17.109375,17.5,16.71875
12.0,17.109375,17.5,16.71875
13.0,17.109375,17.5,16.71875
14.0,17.109375,17.5,16.71875
15.0,17.109375,17.5,16.71875
16.0,17.109375,17.5,16.71875
17.0,17.109375,17.5,16.71875
18.0,17.109375,17.5,16.71875
19.0,17.109375,17.5,16.71875
20.0,17.109375,17.5,16.71875
21.0,17.109375,17.5,16.71875
22.0,17.109375,17.5,16.71875
23.0,17.109375,17.5,16.71875
24.0,17.109375,17.5,16.71875
25.0,17.109375,17.5,16.71875
26.0,17.109375,17.5,16.71875
27.0,17.109375,17.5,16.71875
28.0,17.109375,17.5,16.71875
29.0,17.109375,17.5,16.71875
30.0,17.109375,17.5,16.71875
31.0,17.109375,17.5,16.71875
32.0,17.109375,17.5,16.71875
33.0,17.109375,17.5,16.71875
34.0,17.109375,17.5,16.71875
35.0,17.109375,17.5,16.71875
36.0,17.109375,17.5,16.71875
37.0,17.109375,17.5,16.71875
38.0,17.109375,17.5,16.71875
39.0,17.109375,17.5,16.71875
40.0,17.109375,17.5,16.71875
41.0,17.109375,17.5,16.71875
42.0,17.109375,17.5,16.71875
43.0,17.109375,17.5,16.71875
44.0,17.109375,17.5,16.71875
45.0,17.109375,17.5,16.71875
46.0,17.109375,17.5,16.71875
47.0,17.109375,17.5,16.71875
48.0,17.109375,17.5,16.71875
49.0,17.109375,17.5,16.71875
50.0,17.109375,17.5,16.71875
51.0,17.109375,17.5,16.71875
52.0,17.109375,17.5,16.71875
53.0,17.109375,17.5,16.71875
54.0,17.109375,17.5,16.71875
55.0,17.109375,17.5,16.71875
56.0,17.109375,17.5,16.71875
57.0,17.109375,17.5,16.71875
58.0,17.109375,17.5,16.71875
59.0,17.109375,17.5,16.71875
60.0,17.109375,17.5,16.71875
61.0,17.109375,17.5,16.71875
62.0,17.109375,17.5,16.71875
63.0,17.109375,17.5,16.71875
64.0,17.109375,17.5,16.71875
65.0,17.109375,17.5,16.71875
66.0,17.109375,17.5,16.71875
67.0,17.109375,17.5,16.71875
68.0,17.109375,17.5,16.71875
69.0,17.109375,17.5,16.71875
70.0,17.109375,17.5,16.71875
71.0,17.109375,17.5,16.71875
72.0,17.109375,17.5,16.71875
73.0,17.109375,17.5,16.71875
74.0,17.109375,17.5,16.71875
75.0,17.109375,17.5,16.71875
76.0,17.109375,17.5,16.71875
77.0,17.109375,17.5,16.71875
78.0,17.109375,17.5,16.71875
79.0,17.109375,17.5,16.71875
80.0,17.109375,17.5,16.71875
81.0,17.109375,17.5,16.71875
82.0,17.109375,17.5,16.71875
83.0,17.109375,17.5,16.71875
84.0,17.109375,17.5,16.71875
85.0,17.109375,17.5,16.71875
86.0,17.109375,17.5,16.71875
87.0,17.109375,17.5,16.71875
88.0,17.109375,17.5,16.71875
89.0,17.109375,17.5,16.71875
90.0,17.109375,17.5,16.71875
91.0,17.109375,17.5,16.71875
92.0,17.109375,17.5,16.71875
93.0,17.109375,17.5,16.71875
94.0,17.109375,17.5,16.71875
95.0,17.109375,17.5,16.71875
96.0,17.109375,17.5,16.71875
97.0,17.109375,17.5,16.71875
98.0,17.109375,17.5,16.71875
99.0,17.109375,17.5,16.71875
100.0,17.109375,17.5,16.71875
