round,cwnd,wmax,wmin
1.0,15.0,30.0,17.5
2.0,20.0,23.75,17.5
3.0,20.0,23.75,20.625
4.0,20.0,23.75,22.1875
5.0,20.0,22.96875,22.1875
6.0,22.578125,22.96875,22.1875
7.0,22.578125,22.96875,22.1875
8.0,22.578125,22.96875,22.1875
9.0,22.578125,22.96875,22.1875
10.0,22.578125,22.96875,22.1875
11.0,22.578125,22.96875,22.1875
12.0,22.578125,22.96875,22.1875
13.0,22.578125,22.96875,22.1875
14.0,22.578125,22.96875,22.1875
15.0,22.578125,22.96875,22.1875
16.0,22.578125,22.96875,22.1875
17.0,22.578125,22.96875,22.1875
18.0,22.578125,22.96875,22.1875
19.0,22.578125,22.96875,22.1875
20.0,22.578125,22.96875,22.1875
